,text
0,"Sealing Coating Market Outlook by 2029 | BASF, Alumasc Exterior Building Products, BB Fabrication Renaulac, Koster. â€“ PRIZM News - PRIZM News https://t.co/hDuLGktAvn"
1,BASF . Owned .
2,"BASF launches first biomass balance automotive coatings in China - Just Auto

https://t.co/OghWZwWHdX
 
#CarbonCredit #CarbonNeutral #NetZero #CarbonFarming #CarbonCapture #CarbonMarket  #CleanEnergy https://t.co/EBEgEmSoeh"
3,NewswireToday / BASF Launches First Biomass Balance Automotive Coatings in China #BASF #Coatings #Biomass #ColorBrite #AirspaceBlue #ReSource #Basecoat #OEMs #Automotive #Trucking #RV - https://t.co/24gxUZcKVd
4,GPCA 2022: BASF chairman says Green Deal likely to fall short of US IRA in spurring clean energy... https://t.co/YHYtgof1eW https://t.co/0O3ZxtwkTM
5,ðŸ²ðŸðŸ³ðŸ¥šðŸ¤ðŸ¥•ðŸŒ½ðŸŒðŸ‰ðŸ’ðŸˆðŸ¥‘ðŸ‡ðŸ“ðŸðŸ¥¨ðŸŽðŸ³ðŸ¥šðŸ¥¨ðŸ¥©ðŸ–ðŸ—ðŸðŸ‘ðŸ¥“ðŸ¥™ðŸ‘ðŸ³ðŸ¥šðŸ¤ðŸ–ðŸ—ðŸŠðŸ‡Wintershall Dea/BASF: Russian gas IPO offers little spark
6,"Listen in to Dr. Bob Davis from BASF as he explains what the ACE Certification Program is and how PMPs can use it to get ahead &gt;&gt; https://t.co/1CjfsE8jac

#veseris #podcast #pestcontrol #pestweb #pmp https://t.co/tbSUmk00Is"
7,"â€œTreatâ€ yourself to the latest Canola PODcast episode, where Nikki Vercaigne and Anique Josuttes chat about seed treatment options available on your #InVigor #canola hybrids for 2023: https://t.co/PuobouTjB4 #westcdnag https://t.co/nyCu1aNtiy"
8,"Global Bioplastics Market Report 2022: Featuring BASF, Braskem, Koninklijke, Arkema, Innovia Films, Metabolix, NatureWorks, Novamont &amp; The Dow Chemical Company - https://t.co/guyiBA7QmK https://t.co/B8vYNWOlJ4 https://t.co/XCOHfE6Bvx"
9,"Vitamin E Market revenue to hit $3 billion by 2026, Says #GlobalMarketInsights, Inc. Key market ADM, BASF, Royal DSM N.V., Cargill 
Read More @ https://t.co/y8XAFSTnIqâ€¦
#VitaminE #VitaminEmarket #food"
10,"Launched in 2016, the #Pragati program is the world's first #sustainable castor bean program. ðŸ¤

After 6 years, over 6,200 farmers from more than 80 villages are now trained and audited to produce certified castor seed ðŸŒ±. 

ðŸ‘‰ https://t.co/xpH940OLVK

@BASF @Solidaridadnetw https://t.co/kLuJoXY7lo"
11,"CEO #BrudermÃ¼ller announced that #BASF would downsize in Europe â€œas quickly as possible, and also permanentlyâ€. Most of the cuts are expected to be made at the #Ludwigshafen site. Letzter Walzer auf ðŸ‡ªðŸ‡º-Titanic hat begonnen. GrÃ¼ne Ideologie siegt.ðŸ¤¦

 https://t.co/7DRjZLiKAv"
12,Who is this yearâ€™s PCT/@BASF_Pest_us Commercial Technician of the Year? Find out on Dec. 16. Here are a few clues. #PCTTechnicianAwards https://t.co/Yr0j2zJGr1
13,Does anyone know if BASF Cimegra insecticide has been labeled for use on potatoes by the EPA ? It is the potato equivalent to Teraxxa. Cimegra is available for use in Canada already.
14,The highest #dividend #yield #dividendenrendite (7.17%) of the #DAX 30 is BASF. https://t.co/gTQfksAhb7
15,Greentown Go Move 2022 with BASF and Magna Announces Startup Cohort Focused on Automotive Industry Decarbonization $MGA https://t.co/GZa92rQF9W
16,"Excellent piece in FT detailing the coming de-industrialization of Germany, and echoing the points in my article. Olaf Scholz should have talked to BASF before imposing sanctions on Russia. Those sanctions are going to destroy BASF. https://t.co/11v19RTtkE"
17,"BASF Launches First Biomass Balance Automotive Coatings In China

https://t.co/fRdEbNpL3I

#CarbonCredit #CarbonNeutral #NetZero #CarbonFarming #CarbonCapture #CarbonMarket  #CleanEnergy https://t.co/e3NoCYtGtf"
18,"https://t.co/Gv9VBxavWS ""tracing of sustainably produced cotton from seeding to sewing..."" - #Seed2Sew  BASF's program is driving to address economic, environmental, and social topics. https://t.co/8kPhNUe5MV"
19,Watch how Certitude herbicide stacks up your chances for success against even the toughest weeds in this timelapse video. And earn one entry in the Stack the Field Contest: https://t.co/0AgJQLi7Ho Terms apply #canola #WestCdnAg https://t.co/FfO7yL7RxN
20,"Eric Dixon, production engineer @BASF @BASFLouisiana and @LSUEngineering alum, is now working with LSU to use AI and machine learning to optimize production in BASF's Geismar, La., plant, one of their largest in the world.

https://t.co/aPhuQOcxll

#LSUWorks #AIintheSEC https://t.co/mbfGJe2cYc"
21,BASF to wind down in Russia and Belarus
22,".@BASF launches first biomass balance automotive coatings in China https://t.co/txuMqcsdpl
#paint #coatings https://t.co/TonuLPyjVP"
23,"#DYK that #BASF offers cost-effective solutions for floor maintenance in retail and other high-traffic spaces?

Read this article and know more about our wax-type dispersions as well as a series of resins that can go into formulations for coatings.

https://t.co/cBg5J1ajVt https://t.co/ddKGF91PVX"
24,"Contemporary construction doesn't just have to be #SustainableConstruction. It must also meet standards when it comes to design, materials, and cost. 

This building in Bavaria is built with #BASF's ElastopirÂ® PU panels and checks all the boxes. https://t.co/rkLBcso4d4 https://t.co/XmZQMdejta"
25,"Join us for an experience that's sure to blow your mind! Sign up for an in-person tour of our TPU Development Center in Wyandotte, MI. Work with #BASF experts and explore #ElastollanÂ® TPU to find your next blown film solution.

https://t.co/cVAszJwm9y https://t.co/WwZF6OyUkP"
26,"Weâ€™re excited to announce the cohort for #GoMove2022, including Carbonova, Endeavor Composites, FibreCoat, @HeartlandXL + MITO Materials Solutions! These five startups will work with @BASFCorporation + @MagnaInt to advance their #automotive innovations: https://t.co/laO3cbjPw7 https://t.co/FR3lWWfhzA"
27,$MGA NEW ARTICLE : Greentown Go Move 2022 with BASF and Magna Announces Startup Cohort Focused on Automotive Industry Decarbonization https://t.co/iK9l8IPyNf Get all the latest $MGA related news here : https://t.co/YOb0LursW6 https://t.co/0RqmCc9iQQ
28,"BASF completes acquisition of Cargillâ€™s Idaho canola seed production facility
https://t.co/tvGMxxL2tZ https://t.co/fkwMfXVtHx"
29,"$MGA Greentown Go Move 2022 with BASF and Magna Announces Startup Cohort Focused on Automotive Industry Decarbonization
https://t.co/FSXiDO42yd"
30,"Get cosy to follow a true story about the problem of climate change as we join ""Hunter's Icy Adventure"". What questions do your pupils have about Hunter's environment? #GreatSciShare #GSSfS2023

@OfficialUoM @BASF_UK @ogdentrust @SiemensUKNews @pstt_whyhow @CcComino @royalsociety https://t.co/DhBl4nxFu4"
31,"$LABS â†’ ðŸ“° Press Release

Greentown Go Move 2022 with BASF and Magna Announces Startup Cohort Focused on Automotive Industry Decarbonization

Get more stock alerts â†“
https://t.co/oZGNEnY6u0"
32,Proud to announce that together with @MedAccessUK and the @gatesfoundation we reached our goal and shipped 35 million #InterceptorÂ®G2 nets to 16 Sub-Saharan countries under the New Nets Project. Together we can #EndMalaria for good! Learn more ðŸ‘‰https://t.co/7yjrAhma1A https://t.co/hHgCOnrmnI
33,"$MGA Greentown Go Move 2022 with BASF and Magna Announces Startup Cohort Focused on Automotive Industry Decarbonization
https://t.co/6VIlgg4CeR"
34,First out// $MGA: Greentown Go Move 2022 with BASF and Magna Announces Startup Cohort Focused on Automotive Industry
35,"The global #amphotericsurfactants market size is expected to register a revenue CAGR of 7.4% during the forecast period. Get Insights: https://t.co/9yMf224SFE 
@BASF  SE, @clariant  @Evonik #reportsanddata #surfactants #amphotericsurfactants #chemical #pharmaceutical https://t.co/gVbkHFLKhc"
36,"All that glitters is not gold, but with EuperlanÂ® NL Pearl, youâ€™re already pretty close. Discover @BASF_Cosmetics new #COSMOS compliant, #waxbased #pearlizer made for #rinseoff applications! #BASF #personalcare #biodegradable #BASF_Care360  https://t.co/3YViOKheXB"
37,"BASF launches first biomass balance automotive coatings in China
https://t.co/rpLAp9Ygfs https://t.co/7KUKObN2e2"
38,"BASF joins up with Spanish clothing group to develop detergent designed to reduce microfibre release
#chemicals #chemicalindustry #chemicalweekly #specialitychemicals #detergent #microfibre #homecare #textile #fabric #washing #surfactant #laboratory #techâ€¦https://t.co/YGWsbExVCp"
39,"Such a timely discussion on @oxfordfarming #OFC23 Fringe about diversity &amp; inclusion in agriculture
In this podcast with Lydia Slack she adds to the conversation, her story of being gay in a rural community

https://t.co/O2jgpUrXpM

@McDonalds @navaratnampart1 @kenyanpigfarmer"
40,"Join Jens Kaatze (WIPAG), Virginia Janssens (PlasticsEurope), Hannah Mangold (BASF), Richard Amberger (BASF) to discuss how we can combine different recycling technologies better to close the #recycling gap. #ourplasticsjourney #gocreateBASF https://t.co/PpJBSb2X4O"
41,"ðŸš¨ NEWS: Working with @BASFAgro we have achieved our goal of supplying 35 million InterceptorÂ® G2 mosquito nets to 16 countries in sub-Saharan Africa ahead of the scheduled date of the end of 2022.

@gatesfoundation @GlobalFund @UNITAID @invectorcontrol 

https://t.co/nVSvXaVOTE https://t.co/tPrKUql4Qs"
42,Get in the the mindset of one weed is too many - A chat with Matt Inman of @BASF  https://t.co/i3mocflLgb
43,ðŸ¥šðŸ¥¨ðŸ¥©ðŸ–ðŸ—ðŸðŸ‘ðŸ¥“ðŸ¥™ðŸ‘ðŸ³ðŸ¥šðŸ¤ðŸ–ðŸ—ðŸŠðŸ‡ðŸ“ðŸ¬ðŸ«ðŸ¿ðŸ©ðŸªðŸ’ðŸˆðŸ¥‘ðŸ³ðŸ¥šðŸ¤BASF to wind down in Russia and Belarus
44,"The global benzenoid market size is expected to reach USD 1,011.3 million by 2028 according to a new study by Polaris Market Research.
Get Sample Report@ https://t.co/AuFoAhquVN
#benzenoid_market #benzenoid_market
@BASF https://t.co/8jJ3HXMYse"
45,"Printed Electronics Global Market Size, Share, Trends Analysis, By Material, By Technology, By Device, By Region And Segment Forecasts,2022-2031 | Molex, LLC, Agfa-Gevaert Group, Nissha Co., Ltd., BASF, NovaCentrix https://t.co/AOmzacuGPz"
46,"Biostimulants Market Growth Outlook 2022 Development Status, Opportunities, and Forecast 2028 | Atlantis Ltd, BASF SE https://t.co/SjUI5tnBRU"
47,"Global Lubricant Additives Market Outlook &amp; Forecasts 2022-2027 Featuring Key Vendors - BASF, Lanxess, The Lubrizol Corp, Solvay, &amp; Chevron Oronite - https://t.co/guyiBA7QmK https://t.co/hlLTOxHrsO https://t.co/7rrFpL1M9e"
48,"BASF Pharma Solutions #excipient accepted into #FDA Pilot Program for novel excipients â€“ Press Release
#Soluplus  @BASF_Pharma 
https://t.co/iotUn5iKds https://t.co/wnQmsAzF6a"
49,"Global Soil Conditioners Market Size and Forecast 2022-2031 | BASF, Omnia Specialities Australia, Novozymes, Solvay, UPL, Clariant, Evonik Industries, Eastman Chemical, Aquatrols https://t.co/6DQafCkwlx"
50,"The German Embassy in partnership with SPARK! turnovered sewing machines and technical equipments to the Persons Deprived of Liberty (PDLs) of the Quezon City Jail. The sponsors of the equipments are BASF, Bosch, CS Garments/Family Sudhoff, Royal Cargo, and Steag State Power. https://t.co/B1bxUF6yfe"
51,BASF launches first biomass balance automotive coatings in China #Automotive #Logistics #SupplyChain #Transportation @automotiveworld https://t.co/ft0ZTik0wt
52,"Naomi Scott - Speechless (From ""Aladdin""/Official Lyric Video) https://t.co/1hT8kM0PuG via @YouTube

Yay go dark team.  BRING IT"
53,"#Amino #resin #coatings #woodpanels #laminates
#Metal

Get More Info @ https://t.co/UjBg1lWZqR

Major key players include: @BASF | @Evonik https://t.co/Tm60ShTP6b"
54,"Congratulations to the German top performers in #Webranking by Comprend, @BASF, @DT_IR &amp; @Henkel! The best climber is @EON_SE_en. Well done! 

Full results list: https://t.co/N9gvK6omso https://t.co/H2uA5cjUnH"
55,"BASF, Kleos Space, Amazon - With Big Data to share price success #Space #Bigdata #ecommerce #chemicals #BASF #KleosSpace #Amazon https://t.co/d1svPGFcTy https://t.co/9P9GQiYGkT"
56,"""Chief executive Martin BrudermÃ¼ller announced, that BASF would downsize in Europe ""as quickly as possible, and also permanently(!)"". Most of the cuts are expected to be made at the Ludwigshafen site."" 

Germany confronts a broken business model https://t.co/GTtNoVqC6F"
57,"Bioplastics &amp; Biopolymers Market Types, Size, Overview, Applications 2022-2028

#Bioplastics #Biopolymers #global #market #news #business #size #research @zion_research #science @natureworks @braskem @BASF

Get a FREE PDF Report: https://t.co/MMGznCcYJl
 https://t.co/67ASJcWrgA https://t.co/WbkvlBWjq6"
58,"Waterproofing Membranes Market Overview, Suppliers Analysis, Price, and Size

#Global #WaterproofingMembranes #Membranes #Market #news #business #size @zion_research #science #chemicals @BASF @Sika_USA

Get a FREE Sample Report: https://t.co/kdsSg69Ukn

https://t.co/TRl1l14eTY https://t.co/Cf1tOsEUWb"
59,"BASF Terluran GP-35 ABS Pellets, Natural (5 lbs ) 09JFXHL

https://t.co/ye2xGg5tOq https://t.co/Yr7DWgI5zx"
60,"ðŸ¦  Basf presented its current research projects and examples of innovation in the circular #bioeconomy
The event focused on technologies where #microorganisms contribute to greater #sustainability. 

Source: @IlBioeconomista 

https://t.co/CywNo1zOYR"
61,Itâ€™s the annual Veg Consultants Association  conference today - looking forward to a stimulating day #Ipm @certis_belchim @ADASGroup @BASF @BritishGrowers @AHDB_Hort @BBRO_Beet  @FMCAgroUK @PFertilisers @AgroEngage
62,BASF and more ðŸ”‹
63,"CEO #BrudermÃ¼ller announced that #BASF would downsize in Europe â€œas quickly as possible, and also permanentlyâ€. Most of the cuts are expected to be made at the #Ludwigshafen site. Is Germany turning from an industrial country into an industrial museum? https://t.co/AddtzgJd0z"
64,"Herbicides Market Size 2022 Review, Growth Strategy, Developing Technologies and Forecast by 2031 | BASF,Â Bayer AG,Â DowDupont,Â Syngenta AG,Â SUMITOMO CHEMICAL CO.,Â LTD https://t.co/U4vY9wJ5QH"
65,"Get cosy to follow a true story about the problem of climate change as we join ""Hunter's Icy Adventure"". What questions do your pupils have about Hunter's environment? #GreatSciShare #GSSfS2023

@OfficialUoM @BASF_UK @ogdentrust @SiemensUKNews @pstt_whyhow @CcComino @royalsociety https://t.co/ITvzl0dDGj"
66,"Today, Ash, Tom and Ally visited the Community Paddock in Rupanyup VIC to see how Weidemann Pastoral co. were getting on with harvest. The crop is looking great! We can't wait to see the results ðŸ”—https://t.co/goc74AyNul https://t.co/rTdCUDilzZ"
67,"I had a great time at FHB Forum 2022 in Tampa, Florida. Excited to share that my poster has been placed second in Graduate student poster competition @USWBSI @BASF @BASFAgro @BASFAgProducts @UMD_AGNR https://t.co/KiyyYqzd3D"
68,It was not until  that technicians at BASF and AEG had by chance hit upon the internationality.
69,"https://t.co/Q7xONSYSsp FACTBOX-European companies cuts jobs as economy sputters | Business - Devdiscourse: SIEMENS GAMESA: the Spanish wind turbine maker plans to cut 2900 jobs, ... OTHER * BASF: the German chemicals maker announced a new savingsÂ ... https://t.co/ojsXZisqro"
70,"A great opportunity with BASF!

Sr Agronomic Sales Advisor - West Central Minnesota - Fargo, Wahpeton, Fergus Falls (Remote) https://t.co/wMz3cKngRf"
71,"Do you want to start or already own a pest control business? You need this https://t.co/hFHmUJcDqz

#pestcontrol #pestcontrolbusiness #pestwest #basf #pestcontrolsupplies #wholesalepestcontrol #pestcontrolvendors #rodentcontrol #fumigation https://t.co/SQtncowVsa"
72,We need improved  quality avocados and increased production. @ElgonKenyaLtd @YaraKenya @amiran_kenya @Cropnuts @CropLifeKenya @Syngenta @Bayer4Crops @CortevaAME @HighChemGroup @greenlifeagro @AgrichemAfrica @UPLAUSLtd @ocpgroup  @Lachlan_Africa @BASF @organixkenya @Juancosps https://t.co/Rce4CowZgy
73,"I found you a Death Cross on the daily chart of BASF India Limited.

 $BASF #BASF #deathcross #bearish

https://t.co/KlGoxZBNbl https://t.co/5Ox7kxMBcw"
74,"Another successful #sweetcorn #extension workshop  @EvergladesREC. Thanks for all the speakers, volunteers, and sponsors to make it happen @ERECWeedScience @katiavx @MarcioResendeJr @JulienBeuzelin @FlaFruitandVeg @FDACSDPI @BASF @Syngenta @corteva @ValentUSA @FMCCorp @VSC_News https://t.co/7oYmaMLdKC"
75,".@BASFCanada is #Hiring a Business Development Manager in #Quebec! 

You will be responsible to delivering actionable insights, market analysis and competitor intelligence for BASF in Canada! 

Apply on #AgCareers: https://t.co/uargk3PjyB https://t.co/WGunOoWIVx"
76,"Itâ€™s interesting that the move to lift immigration caps, which would disproportionately effect European countries and increase immigration from them, comes alongside news like this: https://t.co/WCkpNDOT2S"
77,"Our vegetable seeds team has had a great time at the Great Lakes Expo talking to attendees about what BASF has to offer. Big thanks to Alex Fichter, Chris Dyk, and Howard Anderson for manning the booth and representing BASF! https://t.co/uaJU5ncYNW"
78,"Are you CLE-compliant? Check out a list of Practice Tips of the Month! Topics include legal analytics, writ petition, appellate specialists &amp; more. Simply scan the QR codes or visit our catalog: https://t.co/O84DXqQ2Tr https://t.co/HsYXW8VxdC"
79,"What can you do with BASF canola solutions? Stack them, of course. Get your chance to win 320 acres of the full suite of canola products from BASF. See how: https://t.co/0AgJQLi7Ho Terms apply #WestCdnAg https://t.co/Sizumalc7W"
80,"Global Acrylic Acid Market Report to 2032 - Players Include BASF, Dow Chemical, Lucite International and LG Chem - https://t.co/guyiBA7QmK https://t.co/EdjwHSt4ar https://t.co/X08HuWpsat"
81,"Global Fermentation Chemicals Market 2022 Top -Vendor Landscape by 2030 - Novozymes A/S, Ajinomoto Coâ€¤,  Incâ€¤, BASF SE https://t.co/o16ZYZ2Zd0"
82,"Global Concrete Floor Coatings Market Growth Analysis by Top Key Players - BASF SE, Trucrete Surfacing Systems https://t.co/R9ekHnVJIY"
83,"Latest EU-US trade row exposes divisions at the heart of Europe â€” â€œThe energy crisis led BASF to scale down its footprint in Europe in favour of China, while the Swedish battery producer Northvolt has hinted at moving manufacturing to the US.

1/2 https://t.co/b5UMRGJikK"
84,"As an #InVigor grower, you can maximize your BASF Ag Rewards quickly â€“ and easily. Just complete three steps and youâ€™ll be on your way. See how this yearâ€™s program can work to your advantage by watching this short video at https://t.co/6oJTK2KEBE #WestCdnAg https://t.co/ChSfofFo04"
85,"#DYK that OTTO, the heavy-duty shelf created by #BASF in collaboration with the award-winning design studio Inma BermÃºdez, is made with just one plastic material?

Yes! Allowing for better #recycling and driving #sustainability!

https://t.co/iLW6oVZh9g https://t.co/j3hbqM4RBq"
86,BeyondÂ® Xtra herbicide available in 2023 growing season. BASF has introduced a new weed control option called Beyond Xtra. Beyond and Raptor have always contained the same chemistry. Now available including #sunflowers for the 2023 growing season. https://t.co/8CRvJeVzWN https://t.co/p5eHiTyIpK
87,"#Poison does not belong on any field or in food.

What kind of monster does one have to be to not only justify its use, but even to demand it?

 #Farmers' Association #Glyphosate #Neonics #Bayer #BASF"
88,"BASF is not alone. Since the summer, companies across Germany have been scrambling to adjust to the near disappearance of Russian gas. They have dimmed the lights, switched to oil â€” and, as a last resort, cut production.
https://t.co/hq8EtZWC1G"
89,Reduce consumption: BASF shares fall: high gas prices weigh up |Â news https://t.co/5GqPpR4TjU
90,"#LubricantAdditives Market size was valued at USD 17.22 Billion in 2021 and is projected to reach USD 21.62 Billion by 2030, growing at a CAGR of 2.57% from 2023 to 2030.
Read @ https://t.co/1OnfNbINpx
@BASF @ChemturaCorporation @LubrizolCorp https://t.co/k7zdhK3DWR"
91,"LAST CALL! The Paralegal Annual Holiday Party is happening tomorrow at 5PM. Join the BASF Paralegal Section Executive Committee for an ugly sweater contest &amp; win a FREE 1-Year BASF Membership! Space is limiting, secure your spot NOW: https://t.co/sy4NUkugU0 https://t.co/U9UdwZnYSv"
92,Check out my #BASF analysis on @TradingView: https://t.co/dJPkOWJRlB
93,"The business environment in #Germany â€” and #Europe more broadly â€” had â€œdeterioratedâ€, #BASFâ€™s BrudermÃ¼ller said in October. Growth in the European market had been sluggish for a decade. #EU regulation was creating â€œgreat uncertaintyâ€, he said."
94,"Did you know #Smoulder herbicide was inspired by our local herbicide team and specifically designed to manage the most difficult weeds on the Prairies? Even with herbicide resistance challenges, thereâ€™s a homegrown pre-seed option. Learn more: https://t.co/uRZAppC5gs #WestCdnAg https://t.co/FAqLjXhvlg"
95,"Today, on International Civil Aviation Day, we want to share more about our sharkskin technology, developed jointly with Lufthansa Technik, which helps reduce carbon emissions. Learn more about how BASF contributes to a sustainable world: https://t.co/BtTnopac9c
#ChangeForClimate https://t.co/tUZ0NBlrb3"
96,"An @LSUEngineering machine learning approach to understand, organize industrial production data allows engineers to discover surprising patterns, leading to sustained research partnerships with @exxonmobil and @BASF @BASFLouisiana 

https://t.co/aPhuQNUWtN

#LSUWorks #AIintheSEC https://t.co/CKvEoR8bKd"
97,BASF is leveraging over 100 years of experience in precious metals recycling to advance best-in-class battery recycling solutions all while practicing sustainable raw materials sourcing.  https://t.co/0vF2RGDX1T #sustainability #BASFBattery #CircularEconomy https://t.co/pUJYL9RR6r
98,"â€œHigh natural gas prices have created a situation where importing ammonia from overseas was cheaper than manufacturing it ourselves""

BASF announced they would downsize in Europe â€œas quickly as possible, and also permanentlyâ€

$CF $OCI.NV $UAN $LXU

https://t.co/GXonfxfKjh"
99,"1/3 On this date in #innovation history: Leo Baekeland receives a #patent in 1909 for his method of making revolutionary #invention of synthetic plastic, which he produced and marketed as Bakelite (a variation on his name) #PatentsMatter @uspto @IAmBiotech @BASF @InventorsHOF https://t.co/wA7BHlesmS"
